term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Afrikaner,,African,,,"Er ist Südafrikaner, aber seine Frau ist Deutsche.","He is South African, but his wife is German.","bulk-import,web-example",,web:curated-2026-03
afrikanisch,,African,,,"Wir aßen gestern in einem afrikanischen Restaurant.","We ate at an African restaurant yesterday.","bulk-import,web-example",,web:curated-2026-03
Agent,,agent,,,"Der Agent verhandelte einen besseren Vertrag für sie.","The agent negotiated a better contract for her.","bulk-import,web-example",,web:curated-2026-03
Agentur,,agency,,,"Die Agentur sucht neue Models für die Kampagne.","The agency is looking for new models for the campaign.","bulk-import,web-example",,web:curated-2026-03
Akt,,act,,,"Der dritte Akt des Stücks ist der stärkste.","The third act of the play is the strongest.","bulk-import,web-example",,web:curated-2026-03
Aktie,,share,,,"Die Aktie fiel nach der Nachricht um fünf Prozent.","The share fell by five percent after the news.","bulk-import,web-example",,web:curated-2026-03
"Aktivität",,activity,,,"Regelmäßige körperliche Aktivität ist gesund.","Regular physical activity is healthy.","bulk-import,web-example",,web:curated-2026-03
Alarm,,alarm,,,"Der Alarm ging mitten in der Nacht los.","The alarm went off in the middle of the night.","bulk-import,web-example",,web:curated-2026-03
Alkohol,,alcohol,,,"Nach dem Rennen trank er keinen Alkohol.","He drank no alcohol after the race.","bulk-import,web-example",,web:curated-2026-03
all,,all,,,"All diese Fragen beantworten wir später.","We will answer all these questions later.","bulk-import,web-example",,web:curated-2026-03
Allee,,avenue,,,"Im Herbst ist die Allee voller gelber Blätter.","In autumn the avenue is full of yellow leaves.","bulk-import,web-example",,web:curated-2026-03
alles,,everything,,,"Ich habe alles vorbereitet, wir können gehen.","I have prepared everything; we can go.","bulk-import,web-example",,web:curated-2026-03
allgemein,,general,,,"Das ist nur eine allgemeine Regel, keine Ausnahme.","That is only a general rule, not an exception.","bulk-import,web-example",,web:curated-2026-03
Allgemeinheit,,community,,,"Die Entscheidung muss dem Wohl der Allgemeinheit dienen.","The decision must serve the good of the community.","bulk-import,web-example",,web:curated-2026-03
"allmählich",,gradual,,,"Die Verbesserung kam langsam und allmählich.","The improvement came slowly and gradually.","bulk-import,web-example",,web:curated-2026-03
als,,as,,,"Ich arbeitete als Lehrer in Berlin.","I worked as a teacher in Berlin.","bulk-import,web-example",,web:curated-2026-03
alt,,old,,,"Dieses Haus ist über hundert Jahre alt.","This house is over a hundred years old.","bulk-import,web-example",,web:curated-2026-03
Alter,,age,,,"Im Alter wird Geduld oft wichtiger.","With age, patience often becomes more important.","bulk-import,web-example",,web:curated-2026-03
altmodisch,,old-fashioned,,,"Sein Anzug sieht etwas altmodisch aus.","His suit looks a little old-fashioned.","bulk-import,web-example",,web:curated-2026-03
Amerika,,America,,,"Viele Einwanderer kamen damals nach Amerika.","Many immigrants came to America then.","bulk-import,web-example",,web:curated-2026-03
amerikanisch,,American,,,"Sie spricht fließend Englisch mit amerikanischem Akzent.","She speaks fluent English with an American accent.","bulk-import,web-example",,web:curated-2026-03
Amt,,office,,,"Für den Antrag müssen Sie zuerst zum Amt gehen.","For the application, you first need to go to the office.","bulk-import,web-example",,web:curated-2026-03
amtlich,,official,,,"Das amtliche Ergebnis wird morgen veröffentlicht.","The official result will be published tomorrow.","bulk-import,web-example",,web:curated-2026-03
"amüsieren",,amuse,,,"Die Kinder amüsierten sich im Garten.","The children amused themselves in the garden.","bulk-import,web-example",,web:curated-2026-03
an,,at,,,"Wir treffen uns an der Ecke um sechs.","We'll meet at the corner at six.","bulk-import,web-example",,web:curated-2026-03
