term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
abgenutzt,,worn-out,,,"Diese Schuhe sind nach dem langen Winter völlig abgenutzt.","These shoes are completely worn out after the long winter.","bulk-import,web-example",,web:curated-2026-03
Abhang,,slope,,,"Am steilen Abhang wachsen nur wenige Bäume.","Only a few trees grow on the steep slope.","bulk-import,web-example",,web:curated-2026-03
"Abhängigkeit",,dependence,,,"Die wirtschaftliche Abhängigkeit vom Öl ist riskant.","Economic dependence on oil is risky.","bulk-import,web-example",,web:curated-2026-03
"abhärten",,harden,,,"Kaltes Wasser kann den Körper abhärten.","Cold water can toughen the body.","bulk-import,web-example",,web:curated-2026-03
"abklären",,clear,,,"Wir müssen erst die Details mit dem Kunden abklären.","We first need to clarify the details with the customer.","bulk-import,web-example",,web:curated-2026-03
Ablehnung,,refusal,,,"Seine Ablehnung kam für niemanden überraschend.","His refusal surprised no one.","bulk-import,web-example",,web:curated-2026-03
abnutzen,,"wear down",,,"Zu viel Reibung kann das Material schnell abnutzen.","Too much friction can wear the material down quickly.","bulk-import,web-example",,web:curated-2026-03
Abnutzung,,wear,,,"Die Abnutzung der Reifen ist deutlich sichtbar.","The wear on the tires is clearly visible.","bulk-import,web-example",,web:curated-2026-03
Abrechnung,,account,,,"Die Abrechnung für den Monat kommt morgen.","The account for the month arrives tomorrow.","bulk-import,web-example",,web:curated-2026-03
abreisen,,start,,,"Wir müssen früh abreisen, um den Flug zu erreichen.","We have to leave early to catch the flight.","bulk-import,web-example",,web:curated-2026-03
Abstimmung,,vote,,,"Die Abstimmung über das neue Gesetz beginnt um zehn.","The vote on the new law begins at ten.","bulk-import,web-example",,web:curated-2026-03
"abstürzen",,crash,,,"Das alte Programm kann ohne Warnung abstürzen.","The old program can crash without warning.","bulk-import,web-example",,web:curated-2026-03
Abzug,,print,,,"Der Fotograf zeigte uns einen ersten Abzug des Bildes.","The photographer showed us a first print of the picture.","bulk-import,web-example",,web:curated-2026-03
"abzäunen","fence off",,,,"Sie wollen den Garten vollständig abzäunen.","They want to fence off the garden completely.","bulk-import,web-example",,web:curated-2026-03
acht,,eight,,,"Wir treffen uns um acht vor dem Kino.","We are meeting at eight in front of the cinema.","bulk-import,web-example",,web:curated-2026-03
achte,,eighth,,,"Sie wohnt im achten Stock des Hauses.","She lives on the eighth floor of the building.","bulk-import,web-example",,web:curated-2026-03
achtzehnte,,eighteenth,,,"Am achtzehnten Mai beginnt das Festival.","The festival begins on the eighteenth of May.","bulk-import,web-example",,web:curated-2026-03
achtzig,,eighty,,,"Mein Großvater ist schon achtzig Jahre alt.","My grandfather is already eighty years old.","bulk-import,web-example",,web:curated-2026-03
achtzigste,,eightieth,,,"Sie feierten gestern seinen achtzigsten Geburtstag.","They celebrated his eightieth birthday yesterday.","bulk-import,web-example",,web:curated-2026-03
Adel,,nobility,,,"Der alte Adel verlor im neunzehnten Jahrhundert viel Macht.","The old nobility lost much power in the nineteenth century.","bulk-import,web-example",,web:curated-2026-03
adoptieren,,adopt,,,"Sie möchten einen Hund aus dem Tierheim adoptieren.","They want to adopt a dog from the shelter.","bulk-import,web-example",,web:curated-2026-03
Adoption,,adoption,,,"Die Adoption wurde nach vielen Monaten abgeschlossen.","The adoption was completed after many months.","bulk-import,web-example",,web:curated-2026-03
Adresse,,address,,,"Bitte schreiben Sie Ihre neue Adresse auf dieses Formular.","Please write your new address on this form.","bulk-import,web-example",,web:curated-2026-03
Affe,,monkey,,,"Der Affe im Zoo kletterte schnell auf den Baum.","The monkey at the zoo quickly climbed the tree.","bulk-import,web-example",,web:curated-2026-03
Afrika,,Africa,,,"Sie plant im Sommer eine Reise nach Afrika.","She is planning a trip to Africa in the summer.","bulk-import,web-example",,web:curated-2026-03
