term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
"abzäunen",,"fence off",,,"Sie wollen das Grundstück vollständig abzäunen.","They want to fence off the property completely.","bulk-import,web-example",,web:curated-2026-03
anbauen,,"grow (irr.)",,,"Auf diesem Feld bauen wir jedes Jahr Kartoffeln an.","We grow potatoes in this field every year.","bulk-import,web-example",,web:curated-2026-03
Anblick,,sight,,,"Der Anblick der Berge am Morgen war wunderschön.","The sight of the mountains in the morning was beautiful.","bulk-import,web-example",,web:curated-2026-03
andauernd,,permanently,,,"Der Lärm störte uns andauernd bei der Arbeit.","The noise disturbed us constantly at work.","bulk-import,web-example",,web:curated-2026-03
anderenfalls,,otherwise,,,"Beeil dich, anderenfalls verpassen wir den Zug.","Hurry up, otherwise we will miss the train.","bulk-import,web-example",,web:curated-2026-03
anderer,,other,,,"Ein anderer Plan wäre in diesem Fall besser.","Another plan would be better in this case.","bulk-import,web-example",,web:curated-2026-03
anerkennen,,appreciate,,,"Wir müssen seine lange Erfahrung anerkennen.","We have to acknowledge his long experience.","bulk-import,web-example",,web:curated-2026-03
Anerkennung,,recognition,,,"Für ihre Arbeit erhielt sie große Anerkennung.","She received great recognition for her work.","bulk-import,web-example",,web:curated-2026-03
Anfang,,start,,,"Am Anfang war alles noch sehr einfach.","At the start, everything was still very simple.","bulk-import,web-example",,web:curated-2026-03
anfangen,,start,,,"Wir sollten jetzt anfangen, bevor es zu spät ist.","We should start now before it is too late.","bulk-import,web-example",,web:curated-2026-03
anfeuchten,,damp,,,"Du musst die Erde leicht anfeuchten, bevor du pflanzt.","You need to moisten the soil slightly before planting.","bulk-import,web-example",,web:curated-2026-03
angebaut,,grown,,,"Der Mais wurde auf dem südlichen Feld angebaut.","The corn was grown in the southern field.","bulk-import,web-example",,web:curated-2026-03
angeben,,declare,,,"Bitte geben Sie Ihre Adresse im Formular an.","Please state your address on the form.","bulk-import,web-example",,web:curated-2026-03
Angebot,,offer,,,"Das Angebot gilt nur bis zum Ende der Woche.","The offer is valid only until the end of the week.","bulk-import,web-example",,web:curated-2026-03
"angehäuft",,"piled up",,,"Im Keller hatten sich über Jahre viele Kisten angehäuft.","Many boxes had piled up in the basement over the years.","bulk-import,web-example",,web:curated-2026-03
Angelegenheit,,matter,,,"Das ist eine private Angelegenheit der Familie.","That is a private family matter.","bulk-import,web-example",,web:curated-2026-03
angelehnt,,leant,,,"Das Fahrrad stand angelehnt an der Mauer.","The bicycle was leaning against the wall.","bulk-import,web-example",,web:curated-2026-03
angeliefert,,delivered,,,"Die Ware wurde heute Morgen pünktlich angeliefert.","The goods were delivered on time this morning.","bulk-import,web-example",,web:curated-2026-03
Angelrute,,fishing-rod,,,"Er nahm seine Angelrute und ging zum See.","He took his fishing rod and went to the lake.","bulk-import,web-example",,web:curated-2026-03
angenehm,,pleasant,,,"Das Zimmer war kühl und angenehm.","The room was cool and pleasant.","bulk-import,web-example",,web:curated-2026-03
Angewohnheit,,habit,,,"Es ist seine Angewohnheit, früh aufzustehen.","It is his habit to get up early.","bulk-import,web-example",,web:curated-2026-03
angezogen,,dressed,,,"Für die Feier war sie elegant angezogen.","She was dressed elegantly for the celebration.","bulk-import,web-example",,web:curated-2026-03
"angezündet",,lit,,,"Er hat die Kerzen im Wohnzimmer angezündet.","He lit the candles in the living room.","bulk-import,web-example",,web:curated-2026-03
angreifen,,attack,,,"Die Armee könnte bei Nacht angreifen.","The army could attack at night.","bulk-import,web-example",,web:curated-2026-03
Angriff,,attack,,,"Der Angriff begann kurz vor Sonnenaufgang.","The attack began shortly before sunrise.","bulk-import,web-example",,web:curated-2026-03
