term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Abenteuer,,adventure,,,"Wir freuen uns darauf, gemeinsam in dieses neue Abenteuer zu starten.",We are excited to dive into this new adventure together.,"bulk-import,web-example",,web:reverso-context:abenteuer
Abfall,,waste,,,"Wir müssen unseren Abfall verringern, um die Umwelt zu schützen.",We need to cut down our waste to protect the environment.,"bulk-import,web-example",,web:reverso-context:abfall
abfliegen,,start,,,"Bitte gehen Sie schnell an Bord, damit wir pünktlich abfliegen können.",Please enplane quickly so we can depart on time.,"bulk-import,web-example",,web:reverso-context:abfliegen
Abgabe,,tax,,,Der Hund sollte sich erst nach Abgabe des Dummys schütteln.,The dog should be shaking after delivery of the dummy.,"bulk-import,web-example",,web:reverso-context:abgabe
abgehoben,,withdrawn,,,"Aber später wurde es von einer Frau abgehoben, in bar.","But later it was withdrawn by a woman, in cash.","bulk-import,web-example",,web:reverso-context:abgehoben
Abgeordneter,,representative,,,Als neuer Abgeordneter hat er seine Sache sehr gut gemacht.,For a new Member he has done very well on this.,"bulk-import,web-example",,web:reverso-context:abgeordneter
Abgrenzung,,boundary,,,Eine genaue Abgrenzung ihrer Aufgaben war notwendig für den Erfolg des Projekts.,A precise demarcation of their duties was necessary for project success.,"bulk-import,web-example",,web:reverso-context:abgrenzung
"abhängen",,depend,,,"Das zentrale Wesen ist jenes, von dem alle anderen abhängen.",The central being is that on which all the others depend.,"bulk-import,web-example",,web:reverso-context:abhaengen
"abkühlen",,cool,,,"Lass das Salzwasser abkühlen, bis du es problemlos berühren kannst.",Let the salt water cool until you can touch it comfortably.,"bulk-import,web-example",,web:reverso-context:abkuehlen
abnehmen,,decrease,,,"Vielleicht hat dein Arzt dir gesagt, dass du abnehmen musst.",Maybe your doctor told you that you need to lose weight.,"bulk-import,web-example",,web:reverso-context:abnehmen
