term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Antwort,,reply,,,Antworten Sie!,Answer!,"bulk-import,tatoeba-example",,tatoeba:12834188
antworten,,reply,,,Antworten Sie!,Answer!,"bulk-import,tatoeba-example",,tatoeba:12834188
anvertrauen,,entrust,,,Ich werde mich dir anvertrauen.,I'm going to confide in you.,"bulk-import,tatoeba-example",,tatoeba:10949797
Anweisungen,,directions,,,Lest diese Anweisungen.,Read these instructions.,"bulk-import,tatoeba-example",,tatoeba:7448256
anwenden,,apply,,,Nur äußerlich anwenden.,External application only.,"bulk-import,tatoeba-example",,tatoeba:6084407
anwesend,,present,,,Sei anwesend.,Be there.,"bulk-import,tatoeba-example",,tatoeba:931990
Anwesenheit,,attendance,,,Die Lehrerin überprüfte die Anwesenheit.,The teacher checked attendance.,"bulk-import,tatoeba-example",,tatoeba:10033240
anziehen,,get dressed,,,Anziehen!,Get dressed!,"bulk-import,tatoeba-example",,tatoeba:6632261
Anzug,,suit,,,Schöner Anzug.,Nice costume.,"bulk-import,tatoeba-example",,tatoeba:8295470
anzünden,,light (irr.),,,Nicht die Kerze anzünden!,Don't light the candle.,"bulk-import,tatoeba-example",,tatoeba:4265707
Apfel,,apple,,,Schäle den Apfel!,Peel the apple.,"bulk-import,tatoeba-example",,tatoeba:6398616
Apotheker,,chemist,,,Wir sind Apotheker.,We're pharmacists.,"bulk-import,tatoeba-example",,tatoeba:13468963
Appetit,,appetite,,,Guten Appetit.,Bon appetit.,"bulk-import,tatoeba-example",,tatoeba:4229511
applaudieren,,applaud,,,Alle Studenten applaudieren.,All the students applaud.,"bulk-import,tatoeba-example",,tatoeba:2038228
Applaus,,applause,,,Es hagelte Applaus.,There was a flurry of applause.,"bulk-import,tatoeba-example",,tatoeba:12575757
April,,April,,,"April, April!",April fools!,"bulk-import,tatoeba-example",,tatoeba:3279558
Arbeit,,work,,,Sie arbeiten.,They're working.,"bulk-import,tatoeba-example",,tatoeba:9998562
arbeiten,,work,,,Sie arbeiten.,They're working.,"bulk-import,tatoeba-example",,tatoeba:9998562
Arbeiterklasse,,working-class,,,Die Gewerkschaftsbewegung ist der Kapitalismus der Arbeiterklasse.,The trade union movement is the capitalism of the working class.,"bulk-import,tatoeba-example",,tatoeba:2888482
