term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
anhalten,,stop,,,"Der Bus musste plötzlich anhalten.","The bus had to stop suddenly.","bulk-import,web-example",,web:curated-2026-03
"Anhänger",,follower,,,"Er ist ein treuer Anhänger des Vereins.","He is a loyal follower of the club.","bulk-import,web-example",,web:curated-2026-03
"anhäufen",,heap,,,"Im Büro darf sich keine unnötige Arbeit anhäufen.","No unnecessary work should pile up in the office.","bulk-import,web-example",,web:curated-2026-03
anklagen,,charge,,,"Die Staatsanwältin will ihn wegen Betrugs anklagen.","The prosecutor wants to charge him with fraud.","bulk-import,web-example",,web:curated-2026-03
ankommen,,arrive,,,"Der Zug wird pünktlich in Berlin ankommen.","The train will arrive in Berlin on time.","bulk-import,web-example",,web:curated-2026-03
Ankunft,,arrival,,,"Nach unserer Ankunft suchten wir sofort ein Taxi.","After our arrival, we immediately looked for a taxi.","bulk-import,web-example",,web:curated-2026-03
Anlass,,occasion,,,"Zu diesem Anlass trugen alle schwarze Kleidung.","For this occasion, everyone wore black clothing.","bulk-import,web-example",,web:curated-2026-03
anlehnen,,"lean (irr.)",,,"Du kannst die Leiter an die Wand anlehnen.","You can lean the ladder against the wall.","bulk-import,web-example",,web:curated-2026-03
anliefern,,deliver,,,"Die Firma wird die Möbel am Montag anliefern.","The company will deliver the furniture on Monday.","bulk-import,web-example",,web:curated-2026-03
Anlieferung,,delivery,,,"Die Anlieferung der Ware verzögert sich um einen Tag.","The delivery of the goods is delayed by one day.","bulk-import,web-example",,web:curated-2026-03
anlocken,,attract,,,"Bunte Blumen können viele Insekten anlocken.","Bright flowers can attract many insects.","bulk-import,web-example",,web:curated-2026-03
anmalen,,paint,,,"Die Kinder wollen die Wand bunt anmalen.","The children want to paint the wall in bright colors.","bulk-import,web-example",,web:curated-2026-03
Anmerkung,,note,,,"Seine Anmerkung war kurz, aber hilfreich.","His note was brief but helpful.","bulk-import,web-example",,web:curated-2026-03
annehmen,,accept,,,"Ich kann dein Angebot gern annehmen.","I can gladly accept your offer.","bulk-import,web-example",,web:curated-2026-03
Annehmlichkeit,,convenience,,,"Der Aufzug ist eine echte Annehmlichkeit für ältere Bewohner.","The elevator is a real convenience for older residents.","bulk-import,web-example",,web:curated-2026-03
annoncieren,,advertise,,,"Das Geschäft will seine neue Aktion online annoncieren.","The store wants to advertise its new promotion online.","bulk-import,web-example",,web:curated-2026-03
anordnen,,order,,,"Der Arzt wird weitere Tests anordnen.","The doctor will order further tests.","bulk-import,web-example",,web:curated-2026-03
Anordnung,,order,,,"Die Anordnung der Stühle gefiel dem Lehrer nicht.","The arrangement of the chairs did not please the teacher.","bulk-import,web-example",,web:curated-2026-03
anprobieren,,"try on",,,"Ich möchte diese Jacke zuerst anprobieren.","I would like to try on this jacket first.","bulk-import,web-example",,web:curated-2026-03
Anrecht,,right,,,"Jedes Kind hat ein Anrecht auf Bildung.","Every child has a right to education.","bulk-import,web-example",,web:curated-2026-03
Anreiz,,attraction,,,"Ein Bonus kann ein guter Anreiz für bessere Leistungen sein.","A bonus can be a good incentive for better performance.","bulk-import,web-example",,web:curated-2026-03
anschieben,,push,,,"Wir mussten das Auto von Hand anschieben.","We had to push the car by hand.","bulk-import,web-example",,web:curated-2026-03
Anschlagtafel,,"notice board",,,"Die Informationen hingen an der Anschlagtafel im Flur.","The information was posted on the notice board in the hallway.","bulk-import,web-example",,web:curated-2026-03
Anschluss,,connection,,,"Wir haben in München nur zehn Minuten Anschluss.","We have only ten minutes to make our connection in Munich.","bulk-import,web-example",,web:curated-2026-03
Ansiedlung,,settlement,,,"Die erste Ansiedlung entstand nahe dem Fluss.","The first settlement arose near the river.","bulk-import,web-example",,web:curated-2026-03
